source_family,primary_publication,publication_year,initial_classification,final_audit_state,reason,prospective_gold_morphology_screen,additional_exact_gold_unique,additional_exact_silver,duplicate_gold_events,unrecoverable_gold_endpoints,out_of_domain_records,primary_provenance
LaMassa2015,LaMassa et al. 2015,2015,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete",0,0,0,0,0,0,https://arxiv.org/abs/1412.2136
Ruan2016,Ruan et al. 2016,2016,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete; physical events deduplicated",0,0,0,0,0,0,https://arxiv.org/abs/1509.03634
Runnoe2016,Runnoe et al. 2016,2016,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete",0,0,0,0,0,0,https://arxiv.org/abs/1509.03640
MacLeod2016,MacLeod et al. 2016,2016,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete",0,0,0,0,0,0,https://arxiv.org/abs/1509.08393
Yang2018,Yang et al. 2018,2018,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete",0,0,0,0,0,0,https://arxiv.org/abs/1711.08122
MacLeod2019,MacLeod et al. 2019,2019,SCREENED_D090,ALREADY_COMPLETE,"D-090 found no further exact historical public pair; later eBOSS products remain substitutes",0,0,0,0,0,0,https://arxiv.org/abs/1810.00087
Graham2020,Graham et al. 2020,2020,SCREENED_D090,ALREADY_COMPLETE,"Changing-state flux-variability catalogue does not itself establish broad-line appearance/disappearance",0,0,0,0,0,0,https://arxiv.org/abs/1905.02262
Potts2021,Potts and Villforth 2021,2021,SCREENED_D090,ALREADY_COMPLETE,"D-090 exact-event and provenance screen complete; repeat states deduplicated",0,0,0,0,0,0,https://arxiv.org/abs/2104.14225
Green2022,Green et al. 2022,2022,SCREENED_D090,ALREADY_COMPLETE,"D-090 used independent morphology and did not inherit Green classifier outcomes",0,0,0,0,0,0,https://doi.org/10.3847/1538-4357/ac6a4d
LopezNavas2022_2023,Lopez-Navas et al. 2022 and 2023,2023,SCREENED_D090,ALREADY_COMPLETE,"Targeted follow-up endpoints lacked a frozen reproducible public source product",0,0,0,0,0,0,https://arxiv.org/abs/2205.12074
GuoDESI2024,Guo et al. 2024,2024,SCREENED_D090,ALREADY_COMPLETE,"Guo classifier family is under test and cannot supply independent reference truth",0,0,0,0,0,0,https://arxiv.org/abs/2408.00402
Hon_BASS_followup,Hon et al. and BASS follow-up families,2022,SCREENED_D090,ALREADY_COMPLETE,"Mixed 6dF/BASS/targeted endpoints had no bounded exact public pair set in D-090",0,0,0,0,0,0,https://doi.org/10.1093/mnras/stac3245
Runco2016,Runco et al. 2016,2016,SCREENED_EARLIER,ALREADY_COMPLETE,"Represented in the frozen D-086 reference adjudication",0,0,0,0,0,0,https://doi.org/10.3847/0004-637X/821/1/33
Wolf2018_HamburgESO,Wolf et al. 2018,2018,UNSCREENED_RELEVANT,SCREENED_D092_NO_EXACT_ADDITION,"Published CL morphology exists but the exact follow-up endpoint products are not reproducibly public",0,0,0,0,0,0,https://doi.org/10.1017/pasa.2018.5
