object_id,paper3_reference_tier,bright_science_record_id,faint_science_record_id,bright_survey,faint_survey,bright_instrument,faint_instrument,bright_aperture_arcsec,faint_aperture_arcsec,flux_basis_comparability,wavelength_coverage_hbeta,host_operator_eligible,pair_eligibility,reason
SDSSJ012256.19-000252.68,SILVER,sdss:9395-58113-532,sdss:399-51817-238,SDSS,SDSS,BOSS,SDSS_LEGACY,2.0,3.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but literal constant galaxy flux is not defensible across 2 and 3 arcsec fibers"
SDSSJ074511.98+380911.3,SILVER,,,SDSS,MMT,SDSS_LEGACY,MMT_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"Exact 51873/58081 transition records are not both local; later DESI record is not a substitute"
SDSSJ081319.34+460849.5,SILVER,sdss:439-51877-566,sdss:6392-56331-693,SDSS,SDSS,SDSS_LEGACY,BOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but literal constant galaxy flux is not defensible across 3 and 2 arcsec fibers"
SDSSJ082942.66+415436.8,GOLD,sdss:761-54524-71,sdss:761-52266-60,SDSS,SDSS,SDSS_LEGACY,SDSS_LEGACY,3.0,3.0,DEFENSIBLE_COMPARABLE,COMPLETE_BOTH,True,PAIR_CONSISTENT_ELIGIBLE,"Exact same-instrument same-aperture transition endpoints; shared absolute amplitude is defensible"
SDSSJ090258.39+252915.15,BORDERLINE,sdss:2086-53401-380,sdss:9604-58133-5,SDSS,SDSS,SDSS_LEGACY,EBOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Aperture mismatch; additionally early ZWARNING review remains unresolved"
SDSSJ102152.34+464515.6,GOLD,sdss:944-52614-603,sdss:7386-56769-410,SDSS,SDSS,SDSS_LEGACY,BOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact GOLD endpoints but 3-to-2 arcsec aperture mismatch forbids physical pair-consistent interpretation"
SDSSJ105058.42+241351.18,SILVER,sdss:2481-54068-428,sdss:10467-58138-592,SDSS,SDSS,SDSS_LEGACY,EBOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but apertures differ"
SDSSJ105325.40+302419.34,GOLD,sdss:1981-53463-599,sdss:10476-58141-851,SDSS,SDSS,SDSS_LEGACY,EBOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact GOLD endpoints but 3-to-2 arcsec aperture mismatch forbids physical pair-consistent interpretation"
SDSSJ114408.90+424357.5,BORDERLINE,sdss:1445-53062-490,sdss:8370-57732-283,SDSS,SDSS,SDSS_LEGACY,EBOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but apertures differ"
SDSSJ120442.10+275411.8,BORDERLINE,sdss:6475-56337-302,sdss:2226-53819-585,SDSS,SDSS,BOSS,SDSS_LEGACY,2.0,3.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but apertures differ"
SDSSJ123359.12+084211.5,SILVER,,,SDSS,WHT,SDSS_LEGACY,WHT_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"Exact 53474/57539 transition records are not both local; later DESI record is not a substitute"
SDSSJ141213.61+021202.1,BORDERLINE,,,SDSS,MMT,SDSS_LEGACY,MMT_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"Exact 51993/57818 transition records are not both local; later DESI record is not a substitute"
SDSSJ153612.80+034245.7,SILVER,,,SDSS,MMT,SDSS_LEGACY,MMT_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"No exact transition endpoint spectra are local"
SDSSJ161711.42+063833.4,SILVER,,,SDSS,MAGELLAN,SDSS_LEGACY,MAGELLAN_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"Exact 53501/57596 event endpoints are unavailable; D-084 DESI-DESI records are later repeated conditions and cannot replace the real transition"
SDSSJ210200.42+000501.8,SILVER,,,SDSS,MMT,SDSS_LEGACY,MMT_FOLLOWUP,3.0,,EXACT_ENDPOINT_RECORDS_UNAVAILABLE,UNKNOWN,False,OUT_OF_DOMAIN,"Exact 52431/57989 transition records are not local; DESI redshift-conflict record is not admissible"
SDSSJ222132.41-010928.70,SILVER,sdss:9238-58013-261,sdss:375-52140-253,SDSS,SDSS,EBOSS,SDSS_LEGACY,2.0,3.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact endpoints exist but apertures differ"
SDSSJ233602.98+001728.7,GOLD,sdss:385-51783-360,sdss:4213-55449-530,SDSS,SDSS,SDSS_LEGACY,BOSS,3.0,2.0,APERTURE_MISMATCH,COMPLETE_BOTH,False,SPECTRUM_DIAGNOSTIC_ONLY,"Exact GOLD endpoints but aperture mismatch forbids literal constant-galaxy-flux interpretation; later DESI is diagnostic only"
