object,publication,source_family,discovery_method,physical_event,evidence_summary,bright_endpoint,faint_endpoint,survey_instrument,immutable_identifiers,exact_endpoints,publicly_retrievable,hbeta_coverage,native_quality_feasibility,proposed_reference_tier,q1_eligible,exclusion_reason,approximate_acquisition_size
SDSSJ015957.64+003310.4,LaMassa+2015,LaMassa2015,archival repeat spectroscopy,turn_off,"Type 1 to 1.9; broad Hbeta disappears, broad Halpha fades, AGN continuum drops about sixfold; optical/X-ray/photometric coherence",MJD51871,MJD55201,SDSS/BOSS,"403-51871-0549;3609-55201-0524",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,,~0.4 MB pair
SDSSJ012648.08-083948.0,Ruan+2016;Potts&Villforth2021,Ruan2016,archival pipeline-class transition plus independent difference spectrum,turn_off,"Hbeta and Halpha completely disappear; Hgamma disappearance in difference spectrum; continuum dims",MJD52163,MJD54465,SDSS/BOSS,"661-52163-0604;2878-54465-0377",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,,~0.4 MB pair
SDSSJ101152.98+544206.4,Runnoe+2016,Runnoe2016,TDSS repeat spectroscopy,turn_off,"blue continuum drops >9.8-fold; broad Halpha luminosity drops 55-fold; primary spectrum reports complete broad-Hbeta disappearance",MJD52652,MJD57073,SDSS/eBOSS,"945-52652-0022;8181-57073-0827",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,,~0.4 MB pair
SDSSJ000236.25-002724.8,Potts&Villforth2021,Potts2021,difference-spectrum repeat search,repeating turn_off then turn_on,"continuum and broad Hbeta disappear in the off transition; Halpha diminishes; third epoch restores continuum and broad lines",MJD51791,MJD52559,SDSS/SDSS,"387-51791-0110;669-52559-0306",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,"Q1 uses the first published off transition; third epoch is corroboration, not a substitute",~0.35 MB pair
SDSSJ135855.83+493414.2,Yang+2018;Potts&Villforth2021,Potts2021,repeat-SDSS difference-spectrum confirmation,turn_on,"type 2 to type 1; strong Hbeta and Halpha emergence plus blue continuum; described as the clearest/extreme turn-on in the Potts sample",MJD54553,MJD53438,SDSS/SDSS,"1670-54553-0073;1670-53438-0061",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,,~0.35 MB pair
SDSSJ021359.79+004226.81,Green+2022,Green2022,visually selected TDSS repeat spectroscopy,turn_off,"primary paper states all broad Balmer lines weaken substantially and become narrow; strong steady dimming and long spectral baseline",MJD51816,MJD58097,SDSS/eBOSS,"405-51816-0458;9383-58097-0829",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,GOLD,PROVISIONAL_YES_PENDING_ACQUISITION_QC,"Tier uses published morphology/continuum narrative only; Green Nsigma not used as truth",~0.45 MB pair
SDSSJ002311.06+003517.5,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_on/flickering,"large continuum variability and emerging Hbeta, but primary paper reports low per-pixel transition significance and later flickering",MJD55480,MJD51816,SDSS/BOSS,"4219-55480-0852;390-51816-0564",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Not strict GOLD; multiple later publications deduplicated to the original event",~0.4 MB pair
SDSSJ022556.07+003026.7,MacLeod+2016,MacLeod2016,multi-epoch repeat spectroscopy,turn_off_then_on,"Hbeta vanishes and later reappears with continuum; MgII changes, but paper calls the disappearance low significance because the source is faint",MJD52944,MJD55445,SDSS/BOSS,"1508-52944-0556;3615-55445-0617",YES,YES,YES,LOW_SN_REPORTED_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Low-significance endpoint prevents GOLD",~0.4 MB pair
SDSSJ100220.17+450927.3,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_off,"broad Hbeta becomes absent and continuum dims strongly, but broad MgII persists",MJD52376,MJD56683,SDSS/BOSS,"943-52376-0310;7284-56683-0122",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Single-line ambiguity relative to GOLD standard",~0.4 MB pair
SDSSJ214613.31+000930.8,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_on,"Hbeta absent in faint spectrum and emerges with >1 mag brightening; source paper reports low per-pixel significance",MJD55478,MJD52968,SDSS/BOSS,"4196-55478-0774;1107-52968-0358",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Low-significance published morphology prevents GOLD",~0.4 MB pair
SDSSJ225240.37+010958.7,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_on/flickering,"broad-line and continuum emergence with >2 mag brightening; boxy Hbeta and later flickering complicate a strict event",MJD55500,MJD52174,SDSS/BOSS,"4294-55500-0045;676-52174-0442",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Profile/flickering ambiguity",~0.4 MB pair
SDSSJ233317.38-002303.4,MacLeod+2016,MacLeod2016,photometric variability plus repeat spectroscopy,turn_on,"broad-line emergence and >2 mag continuum brightening; limited independent multiline narrative",MJD55447,MJD52199,SDSS/BOSS,"4212-55447-0312;681-52199-0114",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Evidence credible but less independently corroborated than GOLD",~0.4 MB pair
SDSSJ082323.89+422048.3,Potts&Villforth2021,Potts2021,difference-spectrum repeat search,turn_off,"Hbeta completely disappears and continuum dims; broad Halpha remains strongly present (type 1 to 1.9)",MJD52266,MJD54524,SDSS/SDSS,"761-52266-0415;761-54524-0434",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Persistent broad Halpha limits multiline disappearance support",~0.35 MB pair
SDSSJ172322.31+550413.8,Potts&Villforth2021,Potts2021,difference-spectrum repeat search,turn_on,"Hbeta and Halpha strengthen rapidly with blue continuum, but faint state is already type 1.8 with weak broad Hbeta",MJD51997,MJD51813,SDSS/SDSS,"367-51997-0172;357-51813-0162",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Broad line present in faint endpoint",~0.35 MB pair
SDSSJ110423.21+634305.3,Yang+2018,Yang2018,SDSS repeat-spectrum visual search,turn_off,"type 1 to 1.8 with coordinated continuum/mid-IR dimming; broad Hbeta weakens but does not disappear",MJD52370,MJD54498,SDSS/BOSS,"596-52370-0316;2882-54498-0588",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Intermediate-type transition",~0.4 MB pair
SDSSJ115039.32+363258.4,Yang+2018,Yang2018,SDSS repeat-spectrum visual search,turn_off,"type 1 to 1.9 with strong continuum dimming and broad-Hbeta loss",MJD53436,MJD57422,SDSS/eBOSS,"2035-53436-0464;8872-57422-0301",YES,YES,YES,METADATA_FEASIBLE_PENDING_NATIVE_QC,SILVER,SENSITIVITY_CANDIDATE,"Potts later excluded this event from its clearest/strongest subset",~0.45 MB pair
