transition_id,source_family,event,gold_reference_evidence,identity_pair_valid,both_endpoints_native_qc_valid,q1_native_endpoint_valid,yang_instrument_domain_valid,yang_applicability,green_instrument_domain_valid,green_applicability,q1_eligible,technical_exclusion_reason
J000253.52+210109.9,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,False,False,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
J083826.50+371906.7,Dong2025_SDSS_LAMOST,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,
J084016.42+220624.6,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J095536.70+103752.4,Dong2025_SDSS_LAMOST,turn_on,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J101403.44+193609.1,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J101417.87+351106.8,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J102822.85+235125.8,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J103844.05+390804.0,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J104043.38+273518.9,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J104111.56+555142.4,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J104427.75+271806.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J105233.83+454949.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J110413.32+281530.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J112229.65+214815.6,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J113402.78+290403.9,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J114154.47+063509.6,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,
J114634.92+282642.0,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J120635.22+175312.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J122355.23+343856.6,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J122623.69+261050.0,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J122945.61+440934.5,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,False,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J124554.71+460418.7,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J130501.21+010323.8,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J131001.32+143705.2,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,False,False,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,True,UNCLASSIFIABLE_INSTRUMENT_DOMAIN,False,IDENTITY_OR_NATIVE_QC_FAIL
J131432.70+122718.5,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J132421.98+280238.3,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
J133551.98+544450.1,Dong2025_SDSS_LAMOST,turn_off,GOLD_REFERENCE_EVIDENCE,True,True,True,True,APPLICABLE_FAIL_CLOSED_PER_FIT,True,APPLICABLE_SUPPORTED_VARIANCE,True,
