object_id,paper3_reference_tier,transition_direction,broad_line_appearance_disappearance,spectra_difference_spectrum_evidence,multi_line_support,continuum_behavior,literature_provenance,ambiguity,adjudication_basis,d085_classifier_outputs_inspected
SDSSJ012256.19-000252.68,SILVER,turn_on,CREDIBLE_HBETA_CHANGE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_SUPPORT,COORDINATED_BRIGHTENING,Green+2022,"Broad components remain partly visible and aperture changes 3-to-2 arcsec","Independent raw endpoint morphology plus continuum and Halpha; literature designation is provenance only",False
SDSSJ074511.98+380911.3,SILVER,turn_off,SOURCE_FIGURE_VISUAL_TRANSITION,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_PRIMARY,STRONG_PHOTOMETRIC_DIMMING,MacLeod+2019,"Exact MMT endpoint is unavailable locally","Primary-paper spectra and light-curve evidence; no D-085 decision statistic used",False
SDSSJ081319.34+460849.5,SILVER,turn_off,CREDIBLE_BALMER_PROFILE_CHANGE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_STRONGER_THAN_HBETA,MODEST_DIMMING,Runco+2016,"Hbeta change is weak and broad Halpha remains in both epochs","Independent raw endpoint morphology; source catalogue is provenance only",False
SDSSJ082942.66+415436.8,GOLD,turn_on,CLEAR_BROAD_BALMER_APPEARANCE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HBETA_AND_HALPHA,STRONG_COORDINATED_BRIGHTENING,Potts+Villforth2021,"No reference-truth ambiguity; T2-B variance limitation affects classifiers not truth","Clear independent raw multi-line morphology and continuum change; Potts algorithm output not used",False
SDSSJ090258.39+252915.15,BORDERLINE,turn_off,SUBTLE_NOISY_HBETA_CHANGE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_INCONCLUSIVE,DIMMING_PRESENT,Green+2022,"Early spectrum has unresolved ZWARNING review and broad-line change is not visually decisive","Independent raw endpoint review fails the prespecified clarity standard",False
SDSSJ102152.34+464515.6,GOLD,turn_off,CLEAR_BROAD_HBETA_DISAPPEARANCE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HBETA_AND_HALPHA,STRONG_COORDINATED_DIMMING,MacLeod+2016,"No material reference-truth ambiguity","Clear independent raw multi-line morphology and continuum change; source labels not used",False
SDSSJ105058.42+241351.18,SILVER,turn_off,CREDIBLE_HBETA_WEAKENING,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_PERSISTS,DIMMING_PRESENT,Green+2022,"Halpha remains broad and the transition is less decisive than GOLD cases","Independent raw endpoint morphology plus continuum; literature designation is provenance only",False
SDSSJ105325.40+302419.34,GOLD,turn_on,CLEAR_BROAD_HBETA_APPEARANCE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_PROFILE_SUPPORT,COORDINATED_SPECTRAL_CHANGE,Green+2022,"Continuum-defined bright epoch and strongest broad-Hbeta epoch are not identical","Clear independent raw Balmer morphology with corroborating spectral change; no D-085 output used",False
SDSSJ114408.90+424357.5,BORDERLINE,turn_off,BROAD_BALMER_PRESENT_BOTH_EPOCHS,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HBETA_AND_HALPHA_BUT_NO_DISAPPEARANCE,DIMMING_PRESENT,Graham+2020,"Strong variability but no clear broad-line appearance or disappearance","Independent raw endpoint review does not meet GOLD or SILVER transition clarity",False
SDSSJ120442.10+275411.8,BORDERLINE,turn_on,BROAD_BALMER_PRESENT_BOTH_EPOCHS,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HBETA_AND_HALPHA_BUT_NO_DISAPPEARANCE,BRIGHTENING_PRESENT,Graham+2020,"Line-profile and continuum variability without a decisive type transition","Independent raw endpoint review does not meet GOLD or SILVER transition clarity",False
SDSSJ123359.12+084211.5,SILVER,turn_off,SOURCE_FIGURE_VISUAL_TRANSITION,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_PLUS_FEII,SMALL_CONTINUUM_CHANGE,MacLeod+2019,"NLS1 and FeII complexity; exact WHT endpoint unavailable locally","Primary-paper spectral narrative supports a transition but local blind confirmation is unavailable",False
SDSSJ141213.61+021202.1,BORDERLINE,turn_off,MODEST_BROAD_HBETA_WEAKENING,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_ONLY,SMALL_DIMMING,MacLeod+2019,"Primary paper explicitly describes only factor-1.43 Hbeta loss at less than 2 sigma per pixel","Primary-paper descriptive evidence is explicitly marginal; classifier value not used as truth",False
SDSSJ153612.80+034245.7,SILVER,turn_off,SOURCE_FIGURE_VISUAL_TRANSITION,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_PRIMARY,STRONG_PHOTOMETRIC_DIMMING,MacLeod+2019,"Exact MMT endpoint unavailable locally","Primary-paper spectra and coordinated light curve support the event; no D-085 statistic used",False
SDSSJ161711.42+063833.4,SILVER,turn_off,SOURCE_FIGURE_VISUAL_TRANSITION,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_PRIMARY,STRONG_PHOTOMETRIC_DIMMING,MacLeod+2019,"Exact SDSS-Magellan transition endpoints unavailable; later DESI-DESI pair is not the event","Primary-paper spectra and coordinated light curve; D-084 later DESI pair not used for truth",False
SDSSJ210200.42+000501.8,SILVER,turn_off,SOURCE_REPORTS_BROAD_HBETA_UPPER_LIMIT,PRIMARY_PAPER_ENDPOINTS_NOT_LOCAL,HBETA_PRIMARY,FLARE_TO_DIM_STATE,MacLeod+2019,"Post-starburst host and flare history complicate interpretation; exact MMT endpoint unavailable","Primary-paper decomposed spectral narrative and light curve; tested threshold not used",False
SDSSJ222132.41-010928.70,SILVER,turn_on,CREDIBLE_HBETA_APPEARANCE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HALPHA_WEAK_OR_INCONCLUSIVE,STRONG_COORDINATED_BRIGHTENING,Green+2022,"Faint epoch is noisy and multi-line corroboration is limited","Independent raw endpoint morphology and continuum change; literature designation is provenance only",False
SDSSJ233602.98+001728.7,GOLD,turn_on,CLEAR_BROAD_BALMER_APPEARANCE,EXACT_RAW_ENDPOINTS_BLINDLY_REVIEWED,HBETA_AND_HALPHA_PLUS_MULTIPLE_EARLY_EPOCHS,CONTINUUM_NOT_STRICTLY_COORDINATED,Ruan+2016,"3-to-2 arcsec aperture change affects physical injection but repeated spectra support the transition","Clear independent raw multi-line morphology plus Ruan multi-epoch provenance; no D-085 output used",False
