key,reference,year,parent_sample,line,cl_definition_summary,threshold,snr_cut,host_subtraction,calibration,visual_inspection,turnon_offon,sample_size,criterion_family,verified_against_pdf,notes
lamassa2015,LaMassa et al. 2015 (ApJ 800 144),2015,SDSS repeat spectroscopy,Hbeta+Halpha,Spectral type change between epochs (Type 1 -> Type 1.9),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,off,1,C,no,First CLQ. Discovery paper; definition is descriptive rather than algorithmic.
macleod2016,MacLeod et al. 2016 (MNRAS 457 389),2016,SDSS quasars with |Delta g|>1 mag photometric preselection,Hbeta+MgII,Visual BEL appearance or disappearance after candidate preselection,No final scalar threshold,No spectral S/N floor stated,No,SDSS/BOSS corrections discussed,Required,both,10,SEARCH_PROTOCOL,yes,"Primary PDF checked: source verified as a search/visual protocol, not an executable final scalar classifier."
macleod2019,MacLeod et al. 2019 (ApJ 874 8),2019,SDSS x Pan-STARRS variability-selected,Hbeta,"Visual broad-Hbeta appearance/disappearance AND source-protocol N_sigma(Hbeta)",">3",median spectral S/N >2 input exclusion,QSfit host component; fallback host matching for rescaling,"Follow-up scaled to narrow [O III]; host-match fallback",Required,both,17,A_PIXEL,yes,"Pixel flux-deviation statistic after continuum subtraction; rest 2 A/pixel; 32 A running median; maximum over 4750-4940 A relative to smoothed 4750 A. Delta-g/r cuts are candidate selection only."
runco2016,Runco et al. 2016,2016,SDSS repeat spectroscopy,Hbeta,Broad-line flux variability,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,both,TO_VERIFY,B,no,Check whether this belongs in the primary comparison set.
yang2018,Yang et al. 2018 (ApJ 862 109),2018,LAMOST x SDSS,Hbeta+Halpha,Appearance/disappearance of broad component,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,both,21,C,no,LAMOST resolution and calibration differ from SDSS; relevant to Q4.
green2022,Green et al. 2022 (ApJ 933 180),2022,Visually selected TDSS DR14 repeat-spectrum candidates at z<0.9,Hbeta,"Source-protocol N_sigma(Hbeta) for bona-fide status",">=3 in Table 2 catalogue note",No universal spectral S/N floor stated,PyQSOFit continuum plus masked host subtraction,"[O III] rescaling with documented exceptions",Candidate search was visual; not an added scalar cut,both,19,A_PIXEL,yes,"Bright-minus-dim pixel statistic; rest 2 A/pixel; median kernel normally 16 pixels; max over 4750-4940 A after subtracting smoothed N_sigma(4750)."
pottsvillforth2021,Potts & Villforth 2021 (A&A 650 A33),2021,SDSS-II repeat spectra at 0.1<=z<=0.4,Hbeta+Halpha,Difference-spectrum candidate indicators followed by visual AGN-type-transition rejection,"Table 1 feature thresholds; not a final CL threshold",No S/N floor; initial 4100-5500 A variability >3e-18 flux-density cut,No,"Same SDSS Legacy instrument; Galactic-extinction correction",Required for final six,both,6,POTTS_PROTOCOL,yes,"Search protocol only. Gaussian smoothing width is unreported and candidate-combination prose conflicts with Table 1 note; no final classifier is invented."
zeltyn2024,Zeltyn et al. 2024 (SDSS-V),2024,SDSS-V multi-epoch spectroscopy,Hbeta,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,both,TO_VERIFY,TO_VERIFY,no,Reports preferential CL behaviour at low Eddington ratio. Prevalence prior ~0.4 percent used in prior work.
guo2024,Guo et al. 2024 DESI II (arXiv:2408.00402),2024,DESI DR1 x SDSS DR16 repeat spectra,Hbeta+Halpha+MgII,Three-stage search and confirmation protocol,"Step1 same BEL: Max(N_sigma)>3 AND R>1.5; Step2 fitted R>1.5; usual Step3 [O III] difference <20% and pseudo-photometry <0.5 mag with VI exceptions",No global S/N floor stated,Old-age host template in spectral fitting,"[O III] plus pseudo-photometry and VI exception branches",Required in exception/confirmation handling,both,561,GUO_PROTOCOL,yes,"R=(Fbright-Fdim)/Fdim. Quick screen is not the final Guo definition; paper gives no nondetection or zero-denominator substitution and no BEL integration windows."
yang2024_turnon,Yang et al. 2024/2025 Galaxies Lighting Up (arXiv:2408.16183),2024,Variability-selected spectroscopic galaxies with follow-up,Hbeta+Halpha+MgII,Broad-line faint-to-bright fitted flux ratio,<0.3,No spectral S/N floor in final ratio rule,"QGfit continuum and host decomposition; broad component chosen by BIC","Absolute calibration; common host fixed across paired fits",No,on,82,B_FLUX_RATIO,yes,"Source explicitly permits f_line_faint=0 only when no broad line is detectable. Broad-line fit bounds are 1200-20000 km/s; fit failure or unavailable component is not a nondetection."
guo2025_turnon,Guo et al. 2025 turn-on sample,2025,DESI,Hbeta,Broad-line flux ratio between bright and faint states,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,on,75,B,no,"Reported that only 38 of 75 Hbeta CLQs selected by flux ratio also satisfy N_sigma>3. This disagreement is the seed of Q3 -- VERIFY THESE NUMBERS."
heii2025,2025 He II CLAGN study,2025,TO_VERIFY,HeII,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,"Explicitly finds CL sensitivity to S/N, host contamination, line strength, Fe II, redshift, Eddington ratio. Also raises the counterintuitive possibility that better S/N removes some Hbeta 'disappearance' labels. Closest prior work -- must be read first."
